,en,ru,,,,,,,,,,
ml_transformation_lukki,Lukki transformation,Паучья трансформация,,,,,,,,,,
ml_transformation_lukki_tp,Replace your lower body with a lukki body and increase movement speed by 10%,Заменяет вашу нижнюю часть тела паучьим телом и увеличивает скорость передвижения на 10%,,,,,,,,,,
ml_transformation_angel,Angel transformation,Ангельская трансформация,,,,,,,,,,
ml_transformation_angel_tp,Gives you angel halo and increases your fire and holy damage resistance by 10%,Даёт вам ангельский нимб и увеличивает ваши сопротивления к огню и святому урону на 10%,,,,,,,,,,
ml_transformation_demon,Demon transformation,Демоническая трансформация,,,,,,,,,,
ml_transformation_demon_tp,Gives you demon halo and increases your fire and holy damage resistance by 10%,Даёт вам демонический нимб и увеличивает ваши сопротивления к огню и святому урону на 10%,,,,,,,,,,
ml_random_potion,Random potion,Случайное зелье,,,,,,,,,,
ml_random_potion_tp,Gives you a random potion,Даёт вам случайное зелье,,,,,,,,,,
ml_random_potion_complete_tp,Gives you a completely random potion,Даёт вам совершенно случайное зелье,,,,,,,,,,
ml_random_potion_secret_tp,Gives you a random potion from secret pool,Даёт вам случайное зелье из секретного пула,,,,,,,,,,
ml_potion_static,You will get $0 $1 potion,Вы получите пузырь $1,,,,,,,,,,
ml_spell_static,You will get $0 $1 spell,Вы получите заклинание $1,,,,,,,,,,
